pid,xml
38-3523,https://dblp.org/pid/38/3523.xml
38-4395,https://dblp.org/pid/38/4395.xml
38-4801,https://dblp.org/pid/38/4801.xml
38-4996,https://dblp.org/pid/38/4996.xml
38-768,https://dblp.org/pid/38/768.xml
38-8707,https://dblp.uni-trier.de/pid/38/8707.xml
38-8845,https://dblp.uni-trier.de/pid/38/8845.xml
39-3530-1,https://dblp.org/pid/39/3530-1.xml
39-5361,https://dblp.org/pid/39/5361.xml
39-7035,https://dblp.org/pid/39/7035.xml
39-7183,https://dblp.org/pid/39/7183.xml
40-1491-33,https://dblp.org/pid/40/1491-33.xml
40-2161,https://dblp.org/pid/40/2161.xml
40-2808,https://dblp.uni-trier.de/pid/40/2808.xml
40-3179,https://dblp.org/pid/40/3179.xml
40-4987,https://dblp.org/pid/40/4987.xml
40-6300,https://dblp.org/pid/40/6300.xml
41-1074-1,https://dblp.org/pid/41/1074-1.xml
41-3679,https://dblp.org/pid/41/3679.xml
41-422,https://dblp.org/pid/41/422.xml
41-5564,https://dblp.uni-trier.de/pid/41/5564.xml
41-7272,https://dblp.org/pid/41/7272.xml
41-9728,https://dblp.org/pid/41/9728.xml
42-3296,https://dblp.uni-trier.de/pid/42/3296.xml
42-4419,https://dblp.org/pid/42/4419.xml
42-4903,https://dblp.org/pid/42/4903.xml
42-5855,https://dblp.org/pid/42/5855.xml
42-904,https://dblp.uni-trier.de/pid/42/904.xml
43-1219-1,https://dblp.org/pid/43/1219-1.xml
43-2286,https://dblp.uni-trier.de/pid/43/2286.xml
43-5188,https://dblp.org/pid/43/5188.xml
43-6576,https://dblp.org/pid/43/6576.xml
43-6688,https://dblp.org/pid/43/6688.xml
44-2379,https://dblp.org/pid/44/2379.xml
44-4775-2,https://dblp.org/pid/44/4775-2.xml
45-1559,https://dblp.uni-trier.de/pid/45/1559.xml
45-2495,https://dblp.org/pid/45/2495.xml
45-47-1,https://dblp.org/pid/45/47-1.xml
45-4887,https://dblp.org/pid/45/4887.xml
45-8097,https://dblp.org/pid/45/8097.xml
46-1330,https://dblp.uni-trier.de/pid/46/1330.xml
46-2884,https://dblp.org/pid/46/2884.xml
46-3522,https://dblp.org/pid/46/3522.xml
46-8779,https://dblp.org/pid/46/8779.xml
46-968,https://dblp.uni-trier.de/pid/46/968.xml
47-179,https://dblp.uni-trier.de/pid/47/179.xml
47-3542-1,https://dblp.org/pid/47/3542-1.xml
47-8816,https://dblp.org/pid/47/8816.xml
47-9855,https://dblp.org/pid/47/9855.xml
48-10806,https://dblp.org/pid/48/10806.xml
48-1294-7,https://dblp.org/pid/48/1294-7.xml
48-1707,https://dblp.org/pid/48/1707.xml
48-2626-1,https://dblp.org/pid/48/2626-1.xml
48-5154,https://dblp.org/pid/48/5154.xml
49-10034,https://dblp.org/pid/49/10034.xml
49-1457-2,https://dblp.uni-trier.de/pid/49/1457-2.xml
49-612,https://dblp.uni-trier.de/pid/49/612.xml
49-6363,https://dblp.org/pid/49/6363.xml
49-6395,https://dblp.org/pid/49/6395.xml
49-8024,https://dblp.org/pid/49/8024.xml
49-8316,https://dblp.org/pid/49/8316.xml
50-10703,https://dblp.org/pid/50/10703.xml
50-3402-1,https://dblp.org/pid/50/3402-1.xml
50-4597,https://dblp.org/pid/50/4597.xml
50-5895,https://dblp.org/pid/50/5895.xml
50-7626,https://dblp.org/pid/50/7626.xml
51-10288,https://dblp.org/pid/51/10288.xml
51-1742,https://dblp.org/pid/51/1742.xml
51-2627,https://dblp.org/pid/51/2627.xml
51-3529-1,https://dblp.uni-trier.de/pid/51/3529-1.xml
51-394-1,https://dblp.org/pid/51/394-1.xml
51-5585,https://dblp.org/pid/51/5585.xml
51-5793,https://dblp.org/pid/51/5793.xml
51-6689,https://dblp.org/pid/51/6689.xml
51-792-2,https://dblp.uni-trier.de/pid/51/792-2.xml
