name,country,institution,dblp,pid,final_url,expertise
cheng long,singapore,nanyang technological university,https://dblp.org/pers/l/Long:Cheng.html,58-10813,https://dblp.org/pid/58/10813.html,7
nikos armenatzoglou,united states,amazon web services,https://dblp.org/pid/58/1327.html,58-1327,https://dblp.org/pid/58/1327.html,2
prithviraj sen,united states,ibm almaden research center,https://dblp.org/pers/s/Sen:Prithviraj.html,58-1388,https://dblp.org/pid/58/1388.html,9
cong yu,united states,google,https://dblp.org/pers/hd/y/Yu_0001:Cong,58-3771,https://dblp.org/pid/58/3771.html,10
andrew pavlo,united states,cmu,https://dblp.uni-trier.de/pers/p/Pavlo:Andrew.html,58-4127,https://dblp.uni-trier.de/pid/58/4127.html,10
manoj kumar chinnakotla,india,microsoft,https://dblp.org/pers/c/Chinnakotla:Manoj_Kumar.html,58-6066,https://dblp.org/pid/58/6066.html,1
george fakas,sweden,uppsala university,https://dblp.org/pid/59/1952.html,59-1952,https://dblp.org/pid/59/1952.html,6
hiroshi mamitsuka,japan,kyoto university / aalto university,https://dblp.org/pers/m/Mamitsuka:Hiroshi.html,59-2081,https://dblp.org/pid/59/2081.html,7
panagiotis papapetrou,sweden,stockholm university,https://dblp.uni-trier.de/pers/p/Papapetrou:Panagiotis.html,59-3814,https://dblp.uni-trier.de/pid/59/3814.html,8
philippe lamarre,france,insa-lyon france,https://dblp.uni-trier.de/pers/l/Lamarre:Philippe.html,59-5146,https://dblp.uni-trier.de/pid/59/5146.html,10
johann gamper,italy,"{'free university of bozen-bolzano, italy', 'free university of bozen-bolzano'}",https://dblp.org/pid/59/6952.html,59-6952,https://dblp.org/pid/59/6952.html,9
konstantinos karanasos,united states,microsoft,https://dblp.org/pers/k/Karanasos:Konstantinos.html,59-7992,https://dblp.org/pid/59/7992.html,2
yunyao li,united states,ibm research - almaden,https://dblp.org/pid/60/2319.html,60-2319,https://dblp.org/pid/60/2319.html,10
luca cagliero,italy,politecnico di torino,https://dblp.org/pid/60/7439.html,60-7439,https://dblp.org/pid/60/7439.html,2
sungchul kim,united states,adobe,https://dblp.org/pers/k/Kim:Sungchul.html,61-1573,https://dblp.org/pid/61/1573.html,5
jaideep vaidya,united states,rutgers university,https://dblp.org/pers/v/Vaidya:Jaideep.html,61-3091,https://dblp.org/pid/61/3091.html,5
sudeshna sarkar,india,iit kharagpur,https://dblp.org/pers/s/Sarkar:Sudeshna.html,61-3197,https://dblp.org/pid/61/3197.html,6
qiang liu,china,weibo,https://dblp.uni-trier.de/pers/l/Liu:Qiang.html,61-3234,https://dblp.uni-trier.de/pid/61/3234.html,3
yinglong xia,united states,facebook ai,https://dblp.org/pers/x/Xia:Yinglong.html,61-3251,https://dblp.org/pid/61/3251.html,8
ben carterette,united states,spotify,https://dblp.uni-trier.de/pers/c/Carterette:Ben.html,61-5238,https://dblp.uni-trier.de/pid/61/5238.html,1
adam lee,united states,university of pittsburgh,https://dblp.org/pid/62/1373.html,62-1373,https://dblp.org/pid/62/1373.html,6
ravi kiran sarvadevabhatla,india,iiit hyderabad,https://dblp.org/pers/s/Sarvadevabhatla:Ravi_Kiran.html,62-150,https://dblp.org/pid/62/150.html,4
